Genes	wt_DMSO_1	wt_DMSO_2	wt_DMSO_3	wt_CPT_1	wt_CPT_2	wt_CPT_3	miR34a_del_DMSO_1	miR34a_del_DMSO_2	miR34a_del_DMSO_3	miR34a_del_CPT_1	miR34a_del_CPT_2	miR34a_del_CPT_3
LL0000017000	3.03	2.07	3.79	2.07	5.07	2.57	1.01	1.02	1.05	14.98	5.04	0
LL0000017001	50.67	46.22	43.3	41.59	47.82	125.72	20.84	90.05	24.83	39.4	70.01	10.91
LL0000017002	608.74	433.68	547.52	365.24	657.83	776.33	385.91	635.31	394.23	640.02	316.77	342.79
LL0000017003	23	15	22.02	19	14	23	17.78	23.99	14	3	13.77	7
LL0000017004	9.71	3.23	1.63	1.9	5	10.27	0	0	7.41	8.33	5.36	8.33
LL0000017005	0	171.32	0	0	0	0	0	0.01	0	0	0	0
LL0000017006	5	0	2	5.36	3	4	1	0	2.32	6.98	0	1
LL0000017007	0	0	0	4	0	0	0	0	0	5.07	0	0
LL0000017008	191.8	224.48	294.78	274.69	413.5	542.8	181.6	246.32	238.94	573.51	357.58	309.59
LL0000017009	58.58	65.02	56	34.26	67.3	68.92	46.84	71.01	63	127.03	95	66.02
LL0000017010	9	1	12	2	3	3	12	3	0	7	3	5
LL0000017011	23.28	10.71	41.39	21.58	13.47	31.58	27.79	7.3	13.01	0	8.89	6.77
LL0000017012	14.12	10.2	6.94	6.09	0	47.36	6.39	0	5.37	49.34	0	1.44
LL0000017013	3.28	16.75	13.31	1.68	8.58	8.51	8.38	30.85	6.95	11.35	4.74	5.96
LL0000017014	9.57	20.52	23.85	0	5.17	17.13	19.18	23.94	46.57	7.59	2.12	8.8
LL0000017015	79.29	0	38.33	60.73	141.86	200.58	61.97	86.58	47.76	228.78	111.76	109
LL0000017016	134.73	163.67	125.16	237.88	294.18	450.03	72.37	93.84	147.88	633.61	349.63	337.16
LL0000017017	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017018	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017019	2.98	0	0	0	0	0	0	0	0	0	0	0
LL0000017022	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017023	10.37	12	14.15	4	2	7.27	6.1	13	23	0	3	5.58
LL0000017024	23.35	0	3.18	0	19.9	21.02	3.5	0.46	25.62	62.45	6.07	31.65
LL0000017025	0	5.69	0	0	7.6	0	12.17	2.18	1.28	0	3.93	10.61
LL0000017026	23.18	41.34	15.37	6.54	18.57	57.31	14.73	22.01	19.91	26.82	30.95	30.21
LL0000017027	0	1	0	0	1	0	1	1.53	2.93	0	0	1.51
LL0000017028	0	0	3.23	0	2.73	5.58	0	0	0	0	0	0
LL0000017029	6.23	0	5.07	1.71	18.58	14.53	2.61	0	1.75	10.09	15.17	0
LL0000017030	0	0	0	8.63	1.06	13.55	5.71	0	0	0	0	0
LL0000017031	5	5	9	8	21.54	30	0	5	3	24.96	10.28	13.99
LL0000017032	4.09	1.07	2.02	1	0	1.13	1	4.23	6.22	2.75	4.32	2.79
LL0000017034	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017035	30.49	28.31	31.3	13.32	16.4	26.56	33.09	40.74	36.03	17.42	28.36	27.76
LL0000017036	8.53	1.93	8.58	11.87	20.37	52.74	4.76	7.06	4.9	31.82	31.57	24.76
LL0000017037	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017038	5.51	7.77	1.53	1.26	1.67	6.95	6.65	0	1.96	0	0	0
LL0000017039	16.27	19.66	12.94	11.22	19.94	31.35	14.16	15.39	36.58	25.94	36.92	21.75
LL0000017040	11.88	18.36	5.33	0	4.31	5.24	5.77	13.75	17.55	7.94	1.07	1
LL0000017041	0	1	0	0	0	0	0	3	1	0	0	0
LL0000017042	30.72	44.44	40.35	32.49	36.53	66.28	27.11	36.58	42.34	62.65	55.33	66.44
LL0000017043	7.54	7.83	10.55	1.8	4.14	0	0	0	5.12	10.28	0.28	0
LL0000017044	23.31	16.6	9.8	13.95	0	8.09	5.05	0	16.61	18.9	1.1	0
LL0000017045	6.08	1.53	0	4.52	3.89	10.57	9.06	12.79	4.41	9.45	4.19	2.33
LL0000017047	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017048	0	0	0	0	0	0.95	0	0	0	0	1	0
LL0000017049	13.69	6.86	0	5.27	0	2.98	0	0	11.5	11.68	3.4	3.86
LL0000017050	0	3	3	1	6	1.26	0	0	1	6.71	1.26	1.88
LL0000017051	0	58.74	0	0	0	53.27	0	0	25.8	0	0	0
LL0000017053	1.24	3	5	0	0	0	5	1	2	1	1	0
LL0000017054	212.9	245.24	295.77	387.01	494.66	734.29	197.36	254.13	219.79	510.71	434.89	386.92
LL0000017055	17.97	27.43	19.26	29.62	11.21	13.61	10	31	0	74.87	70.68	62
LL0000017056	3	6	4	0	1	8	1	3	3	1	2	0
LL0000017057	1	0	0	0	2	2	3	2	3	0	1	0
LL0000017058	35.25	42.94	32.46	27.16	45.01	88.14	28.87	35.11	38.94	104.15	71.84	54.08
LL0000017059	10.03	1.44	1.55	9.21	8.96	21.66	1.24	7.55	0	16.91	0	5.68
LL0000017060	0	0	0	0	0	1	0	0	0	0	0	0
LL0000017061	3	7	5.01	3.99	4.28	2.01	3	5	2	5.44	4.23	1
LL0000017062	0	1	0	0	1	0	2	0	0	3	2	0
LL0000017063	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017064	0	0	0	0	0	0	0	0	0	0.82	0	0
LL0000017065	5	1	0	0	1	0	0	1	1	0	1	0
LL0000017066	11.65	14.15	12.34	5.87	11.34	15.7	8.85	4.41	7.11	17.4	4.6	5.19
LL0000017067	0	0	0	0	1	0	1	0	0	0	1	0
LL0000017068	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017069	0	0	0	0.14	0	1	0	0	0.51	0	0	0
LL0000017070	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017071	1	0	0	1	1	0	0	1	2	2	0	0
LL0000017072	8	2.01	3.15	17	14.97	24	6.03	1	5	26.32	27	30.14
LL0000017073	1.29	3.61	6.55	1.68	0	0	0	3.55	0	0	0	0
LL0000017074	21.47	47.31	24.31	10.57	32.38	40.66	13.7	43.17	32.31	25.04	27.33	19.05
LL0000017075	0	0	5.28	10.9	3.16	26.15	11.42	3.6	4.54	14.04	10.61	1.95
LL0000017076	0	0	0	0	0	0	0	0	0	0	3.93	1.14
LL0000017077	5	2	6	0	0	3	3	11	1	2	4	0
LL0000017078	26	30	16	13	13	13	23	28	18	16	4	14
LL0000017079	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017080	0	0	0	0	0	0	5.13	0	0	1.19	0	1.67
LL0000017081	0	0	17.19	1.91	0	0	0	0	0	0.57	3.5	0
LL0000017082	3.84	0	0	1.33	7.13	0	2.19	0.63	2.68	2.69	0	4.21
LL0000017083	68.88	114.04	123.81	41	32.45	58.03	65.06	50.23	86	0	27	38.43
LL0000017084	24.97	21	29	12	20	29	8	20.96	22	25	13	15
LL0000017085	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017086	1.82	0	0	0	4	2	1	0	0	0	0	0
LL0000017087	7.71	0	0	0	0	0	0	0	0.33	0	0	0
LL0000017088	5.18	0	0	0	1	0	2	0	0	0	2	3
LL0000017089	7.48	0	0	2.63	4.31	0	0.34	0	0	0	0.15	11.18
LL0000017090	5	4	8	3	7	10	6	13	4	14.48	4	7
LL0000017091	0	0	0	0	0	4	0	0	0	0	0	0
LL0000017092	0	1	0	2	0	0	0	1	0	0	1	0
LL0000017093	2	0	0	0	0	0	0	0	0	0	0	2
LL0000017094	146.65	174.61	140.67	0	15.31	6.55	113.93	145.65	107.79	52.65	4.41	4.56
LL0000017095	45	51	50.65	37	107.53	97.88	33	53	45.92	95	83.99	79.87
LL0000017096	0	1	0.5	0	0	0	0	0.5	0	1	0	0.5
LL0000017097	27.25	2.72	0	8.04	20.87	40.54	17.63	0	21.37	43.26	53.15	28.57
LL0000017098	0	2.65	0	0	0	0	0	0	0	0	0	0
LL0000017099	15.8	16.18	13.93	2.28	0	20.3	2.61	0	6.31	29.95	0	14.56
LL0000017100	4.22	12.4	4.17	7.49	25.85	31.84	8.5	13.21	12.31	15	6.69	3.21
LL0000017101	2.76	2.17	0	0	0	3.25	1.78	0	1	3.7	1.89	0
LL0000017102	2.92	1.11	5.18	3	3.71	10.2	0	0	3.14	3.71	5.86	5.24
LL0000017103	47.53	48.49	63.74	4.57	11.37	17.06	36.46	68.02	31.56	14.22	13	6.87
LL0000017104	5.18	11.01	3.65	3.57	3.88	6.69	2.39	2.14	10.67	5.49	5.76	8.04
LL0000017105	0	0	2.73	1	0	1.86	0.91	2.79	1	4.34	1	0
LL0000017106	5	11	6.94	6	15	17	6	9	13	11.06	10	9
LL0000017107	0	0	1	0	2	2	0	0	2	0	1	0
LL0000017108	20.06	17	19.04	23.5	21	30	14	15	20	47	41.39	30
LL0000017109	160.88	116.05	115.56	101.09	312.54	490.54	152.02	138.19	126.24	198.46	185.15	132.27
LL0000017110	24.16	31.71	34.83	4.56	23.81	42.1	13.03	14.81	22.42	22.72	41.08	17.56
LL0000017111	2	3	9.15	4	3.51	6.7	1.4	0	8.23	7	4.76	8.53
LL0000017112	14	18	12	37.44	68.9	101.88	9	17	17	66.99	62.93	75
LL0000017113	1	0	1.9	2	2	1	0	1	0	7	2	1
LL0000017114	221.15	273.79	202.91	54.71	106.32	107.04	137.78	160.55	144.58	113.7	39.9	39.23
LL0000017115	1.39	0	0	0	0	0	5.07	2.19	0	0	0	0
LL0000017116	71.04	123.08	78.54	71.9	191.3	209.01	37.74	60.95	32.18	73.02	58.65	59.37
LL0000017117	2	0	13	0	4	8	1	3	0	3	5	5
LL0000017118	3.63	2.14	0	1	0	0	5	0	1.53	1	2	2
LL0000017119	6.86	7.72	2.8	2.78	2	6.8	3	6	1	1	6	5.74
LL0000017120	0	0	0	0	0	1	0	0	0	0	0	0
LL0000017121	1	2	2	0	1	0	0	1	6	0	0	0
LL0000017122	0	0	0	1	0	0	0	0	0	0	0	0
LL0000017123	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017124	0	0	0	2	0	1	0	0	0	1	0	0
LL0000017125	453.66	570.08	505.78	119.7	205.9	313.63	396.66	455.95	352.55	279.39	149.41	118.97
LL0000017126	12	5	4	4	2	7	3	2	4	11	2	5
LL0000017127	3	2	1	0	0	2.01	1	3	1	12	2	4
LL0000017128	1.21	2.72	0	0	2.54	9.22	2.21	2.8	5.45	4.2	1.36	1.13
LL0000017129	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017130	2.25	0	0	0	0	0	0	0	0	9.51	0	0
LL0000017131	3	0	2.01	0	0	0	0	0	3	0	1	0
LL0000017132	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017133	0	0	0	0	0	2	0	0	0	0	0	0
LL0000017134	0	0	0	0	0	0	0	0	0	0	0	1
LL0000017135	0	1	1.23	1.11	4.99	4.03	1.36	1.16	2.57	4.46	0.8	13.17
LL0000017136	19.54	11.68	21	9	28.19	49.36	16.64	22.09	24	56.69	40.8	60.93
LL0000017138	4.86	3.25	4.43	0	6.02	10.38	7.79	6.57	3.21	7.07	3.31	1.26
LL0000017139	2	7	4	2	3	4	0	5	4	7	0	2
LL0000017140	0	1	0	0	0	2	0	0	2	3	2	0
LL0000017141	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017142	3	0	2.36	15.01	20.2	31.89	0	0	1	26.99	13.34	23.71
LL0000017143	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017144	6.05	4.03	4.03	0	7.99	9	1.01	5.03	5	7.87	6	7.08
LL0000017145	0	0	0	0	0	0	0	0	0	3.15	3	1.03
LL0000017146	0	1	1	1	1	0	2	0	0	3	4	0
LL0000017147	0	0	0	0	4.47	17	0	0	35.99	0	0	0
LL0000017148	67.45	74.89	81.09	28.44	81.27	112.3	53.6	61.84	54.14	103.74	42.2	78.25
LL0000017149	86.77	81.53	97.77	9.29	91.58	148.66	48.06	74.34	60.63	132.06	113.48	92.93
LL0000017150	0	0	1	0	0	0	0	0	0	1	0	0
LL0000017151	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017152	3.04	3	3	1	3	1	0	4	4	8	3	1.02
LL0000017153	5	8.41	14.07	6.7	8	4	4	5.79	1	3.58	5	8
LL0000017154	8	9	5	0	3	2	2	0	11	2	0	3
LL0000017155	0	0	1.44	0	0	1.21	0	2.32	0	0	0	0
LL0000017156	0	0	0	0	0	0	3.73	0	4	0	0	0
LL0000017157	7.21	1.41	0	2.94	6	12.29	12.13	0	7.5	42.86	19.76	18.27
LL0000017158	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017159	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017160	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017161	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017162	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017163	2	1.66	0	0	3.62	7.19	0	4.98	0	4.21	0	6.04
LL0000017164	2	2.99	4	3	3	5	16	1	7.96	4	2	1
LL0000017165	89	125	111	59.13	104	148	76	137.97	95	165.06	89.01	86
LL0000017166	2	3	11	0	1	4	13	7	9	5	0	0
LL0000017167	140.65	197.24	178.5	28	43	33	137.48	199.25	133	40.04	19.35	32.01
LL0000017168	26.39	23.34	24.37	25.18	51.44	66.83	27.04	36.17	31.13	61.72	37.83	49.92
LL0000017169	0	0	0	0	0	0	0	0	3	0	0	0
LL0000017170	1	0	0	0	1	5	0	0.77	0	1	3	0
LL0000017171	10	14	11	10.98	17	48	6	2	4	13	3	8
LL0000017172	0	0	0	0	0	0	0	0	0	0	3.71	0
LL0000017173	1	0	2	0	0	1	1	1	1	0	0	0
LL0000017174	1	1	3.01	1	4.97	4.02	3.77	2	1	5.27	0	2
LL0000017175	8.37	3.11	3.21	0	3.73	6.19	4.36	3.07	1.04	4	2.1	0
LL0000017176	7	16	16.9	0	4	7.97	13	0	9	11	9	0
LL0000017177	1	0	0	4	1	0	0	2	0	1	0	0
LL0000017178	3.42	2	2.02	0	0	3.14	2.17	0	0	0	0	7.88
LL0000017179	4	2.86	2.86	5	4	8.51	0	1	1	2	3.73	3.4
LL0000017180	0	37.26	0	0	0	0	0	0	0	0	0.1	0
LL0000017181	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017182	0	0	0	0	0	0	0	0	2	0	0	0
LL0000017183	0	15.82	0	2.7	7.48	32.72	6.84	0	10	30.92	22.45	3.88
LL0000017184	313.99	346.96	384.95	72	81	76.08	304.05	337	328.78	130	94.41	71
LL0000017185	18	17	14.34	32.4	66.81	96.93	19	22.71	37	60.54	49.14	38
LL0000017186	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017187	0	0	2.39	0	0	1.25	0	0	0	2.27	0	0
LL0000017188	2.46	5.75	6.46	3.45	6.55	10.5	0	1.71	3.97	2.44	2.03	0.33
LL0000017189	0	2.73	0.43	4.2	0	4.72	1.59	0.59	0.14	3.7	1.87	0
LL0000017190	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017191	0	8.35	3.55	1.27	6.82	14.47	7.7	12.68	5.78	21.66	6.78	3.66
LL0000017192	0	0	2.13	0	2.49	0	0	0	3.03	4.64	0	0
LL0000017193	1	0	3	0	0	0	0	0	1	0	0	0
LL0000017194	1	0	0	0	0	1	0	0	0	0	1	1
LL0000017195	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017196	0	0	0	1.99	0	0	0	0	0	0	0	0
LL0000017197	0	0	0	0	0	1	0	0	0	0	6	0
LL0000017198	0	1	1	0	0	2	0	0	0	2	0	0
LL0000017199	0	0	1	0	1	2	1	0	0	1	0	1
LL0000017200	0	2.18	0	0	0	0	0	1.56	1.37	0	0	0
LL0000017201	76.45	89.32	78.56	76.53	159.37	192.13	82.53	72.57	68.39	206.77	126.31	113.95
LL0000017202	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017203	9.85	11	9	11.59	16.63	14.99	6.2	18.99	5	6.32	12	8.01
LL0000017204	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017205	56.5	0	32.78	60.68	52.88	33.39	0	57.15	4.74	66.63	56.21	29.92
LL0000017206	10	26	19	45.64	59.85	74.68	13	10	13	46	27.31	30
LL0000017207	0	0.02	0	0	0	1.94	0	0	1.43	1.42	2	0
LL0000017208	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017209	0	0	0.14	0	0.68	3.23	5.39	0	0	1.65	0	0
LL0000017210	0	1	0	2	8	4	0	0	1	3	1	1
LL0000017211	1.94	2	0	0	1	1	3	1	1	1.03	0	0
LL0000017212	2	2	0	0	0	0.13	1	0	0	0	5.66	2
LL0000017213	3.71	0	1.04	0	0	1.11	0	0	2	5	1.25	4
LL0000017214	0	6.81	6.99	0	0	4.04	0	4.4	5.36	6.78	2.26	4.87
LL0000017215	0	0	0	0	1.05	0	3	2.03	0	0	0.96	0
LL0000017216	0	0	0	0	1.09	0	0	0	0	0	0	0
LL0000017217	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017218	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017219	1	4	0	1	0	0	0	0	3	0	0	2
LL0000017220	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017221	0	0	0	0	0	0	0	0	0	0	0	0.99
LL0000017222	11.86	15.96	14.84	6	10.16	14.83	1.34	6	6.42	15.27	13	13.79
LL0000017223	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017224	0	9.57	0	11	8.56	53.98	30.23	11.78	28.73	0	30.22	22.23
LL0000017225	3.12	2	4	1	2	7	6	0	0	0	1	1
LL0000017226	7.06	0	0	0	0	0	0	0	0	0	0	0
LL0000017227	0	0	1	0.84	0	0	1.8	0.65	0	1.81	0	1
LL0000017228	0	0	0	1.78	0	0	0	0	0	0	0	0
LL0000017229	0	0	0	0	0	0	0	1	0	0	0	0
LL0000017230	1	1	1.22	0	0	0	0	0	0	4.05	1.21	0
LL0000017231	2	1.5	0.45	0	0	3	0	0.57	0	3.42	0	0
LL0000017232	0	0	0	0	0	4.7	0	0	0	0	0	0
LL0000017233	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017234	0	2	0	0	0	1	0	0	0	0	0	0
LL0000017235	1	2	2	1	0	3	5	0	0	0	0	0
LL0000017236	0	3	1	0	2	7	0	1	1	1	0	1
LL0000017237	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017238	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017239	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017240	1	0	4.01	0	0	0	0	0	0.77	0	0	0
LL0000017241	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017242	104.1	103	86.85	43.1	40	44	99	139	106.37	60.97	31.6	40.19
LL0000017243	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017244	25.56	54.65	56.68	36.45	67.31	78.82	64.42	66.9	51.64	55.93	59.75	66.11
LL0000017245	19	5	16.99	3	15.07	6	18	11.04	11	13.01	3	6
LL0000017246	0	0	0	0	0	1	0	0	0	0	0	0
LL0000017247	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017248	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017249	4	2	3	0	0	4	0	0	0	0	1	0
LL0000017250	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017251	1	0	0	0	1.29	0	0.12	1	1	0	0	1
LL0000017252	150.95	157.28	176.15	93	160.99	203.04	150.06	156	139	188	104.99	83.01
LL0000017253	63.36	69.42	57.31	96.05	108.84	103.27	83.93	114.93	40.31	73.22	37	35.89
LL0000017254	153.84	155.02	154.65	219	281.1	289.57	212.77	208.28	210.89	321.53	144.13	157
LL0000017255	44	62.8	62.46	44	79	80.97	36.67	60.89	40	95	53	55
LL0000017256	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017257	1	0	0	0	0	1	0	0	0	0	0	0.99
LL0000017258	6	2	10	6	4	8	9	5	2	12	7.97	9
LL0000017259	17.58	1.31	9.09	3.94	13.39	28.97	3.7	6.41	9.95	33.96	14.6	8.6
LL0000017260	2	2	0	0	0	1	0	1	0	4	0	0
LL0000017261	71.66	101	155.99	15	34.95	19	99	75.23	71	55	28	27
LL0000017262	4	0	3.94	1	0	1.01	0	3.86	3.62	2	0.43	2
LL0000017263	33.16	33.65	29.45	5.34	38.79	66.64	8.43	39.79	28.74	34.31	18.97	24.66
LL0000017264	0	0	2	0	1	1	0	0	0	1	0	0
LL0000017265	57.09	59.23	73.78	43.43	98.27	128.08	32.8	51.89	43.83	131.95	54.55	56.16
LL0000017266	92.88	84.82	121.62	56.15	122.04	177.28	63.49	78.3	104.75	135.15	141.42	132.62
LL0000017267	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017268	0	0	3.01	0	0	0	2.82	0	1.85	0	0	0
LL0000017269	0	0	0	0	0	0	0	0.57	0	7.06	0	6
LL0000017270	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017271	0	1	0	0	0	2	0	0	1	0	1.55	1
LL0000017272	1	0	0	0	0	0	0	0	1	0	2.01	0
LL0000017273	9.23	11.93	3.83	4.76	22.72	10.85	1.97	5.5	0	22.44	10.68	15.24
LL0000017274	85.12	86.61	61.38	73.52	118.89	171.3	77.63	63.41	127.49	190.25	99.29	95
LL0000017275	12.64	4.47	14.41	5.64	34.83	28.91	8.64	12.37	5.12	35.55	16.26	19.87
LL0000017276	48.94	30.53	36.97	44.26	74.7	133.2	30.57	43.57	24.87	158.76	116.71	76.42
LL0000017277	2.41	16.14	5.49	7.57	13.33	7.08	2.83	10.91	2.45	19.2	12.22	10.15
LL0000017278	0	0	0	2.95	2.97	5.12	0.2	0	0	9.5	0	1.27
LL0000017279	243.74	298.19	316.59	22	87.81	19.8	268.13	347.09	236.64	60.16	6.7	17.02
LL0000017280	0	0	0	0	0.99	0	0	0	0	0	0	0
LL0000017281	0	1	0	0	0	0	0	0	0	0	0	0
LL0000017282	1.8	0	0	0	1	0	0	0	0	0	0	1.21
LL0000017283	0	0	0	0	0	0	0	1	2	0	1	1
LL0000017284	0	1	0	1	1	1	0	1	0	2	0	3
LL0000017285	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017286	1	4	2	2	9	5	0	0.98	1.99	9	8.12	5
LL0000017287	1	0	0	0	0	0	3	0	2	2	0	0
LL0000017288	0	0	0	0	0	0	0	4.37	0	0	0	0
LL0000017289	20.63	25.9	0	6.75	7.05	13.76	18.58	11.71	14.49	24.82	7.57	29.61
LL0000017290	15.76	14.55	14.79	0	10.65	13.81	16.54	39.22	45.23	17.34	19.43	8.43
LL0000017291	0	0	0	0	0	0	1	0	2	1	0	3
LL0000017292	13.34	10.78	20.08	10.4	9.49	33.25	16.59	15.62	12.39	13.23	17.91	3.94
LL0000017293	51.42	48.5	53.11	49.47	95.34	134.5	33.11	58.58	39.9	176.54	75.63	83.62
LL0000017294	0	0	1	0	0	1	0	0	0	0	0	0
LL0000017295	9.12	18	13	9	10	10	11	10	5	19	15	10
LL0000017296	1.03	0	0	0	0	2.15	1.81	0	0	0	2	0.54
LL0000017297	0	0	0	0	2	0	0	4	0	0	1.45	0
LL0000017298	4.82	7.67	6.54	10.03	2.43	9.35	0	9.77	16.63	6.96	4.46	0
LL0000017299	1.1	1.05	0	0	1.47	0	0	3.04	3.86	1.03	0	0
LL0000017300	26.03	10.25	18.98	9.06	15.76	36.29	10.48	29.66	23.86	15.96	10.44	16.52
LL0000017301	18.98	11.71	28.73	3.38	4.41	5.86	19.5	12.35	6.43	5.48	8.88	6.32
LL0000017302	0	1.35	0.25	0	0	2.12	0	0	0	0	2.29	6.82
LL0000017303	0	0	0	0	0	0	0	4.67	3.07	0	0	0
LL0000017304	0	0	0	0	0	0	0	0	0	1.79	1.71	0
LL0000017305	0	0	0	0	0	0	5	0	0	0	0	0.37
LL0000017306	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017307	0	0	2.88	0	0.97	0	0	0	0	0	0	0
LL0000017308	20.84	9	27	6	7	3	7	22	18	4	3	14
LL0000017309	12.82	5.57	7.28	5.98	19.92	0	5.81	1.58	0	2.83	7.2	4.29
LL0000017310	5.8	8.82	1.42	0	2.3	0	0	5.38	0	1.7	1	0
LL0000017311	29.02	25.31	30.16	2	6	8	23.47	24.92	29.22	8.47	7	1
LL0000017312	0	0	0	0	0	0	0	0	0	0	0	1
LL0000017313	85.15	60.65	113.13	113.66	195	215.6	92.59	107.21	64.95	142.52	102.55	52.75
LL0000017314	1	1.33	0	1.04	0	0	2	2	0	0	0	0
LL0000017315	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017316	1	2	0	0	0	0	1	0	0	0	0	0
LL0000017317	0	2	0	0	1	2	0	0	1	5	5	1
LL0000017318	5.16	3.84	0	0	1.87	2.91	0	0	0	0	1.24	0
LL0000017319	0	0	0	0.1	0	1	0	0	0	1.33	3.74	1.45
LL0000017320	2	2	8	1.97	1	2	0	1	0	4	0	1
LL0000017321	13.5	0	14.34	23.83	6.43	54.98	8.53	11.04	20.65	72.05	26.56	27.28
LL0000017322	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017323	1	12	14	3	7	3	0	2.86	2	11	2	4
LL0000017324	38.72	49.74	53.15	41.29	79.54	118.9	20	38	28	91.48	38.63	37
LL0000017325	19	16	20.51	9	12	27	9	32	16.87	28	9	6
LL0000017326	8	8	7	10	17	36	7	7	22.07	31	30	5
LL0000017327	0	0	0	0	0	0	1	0	0	1	0	0
LL0000017328	2	1	0	0	1	0	1	0.6	0	1	0	0
LL0000017329	79.01	80	87.98	23.01	31	68	49.96	65.04	84.29	57	29	26
LL0000017330	0	0.86	0	4.92	4	1	0	0	1	0	0	1.57
LL0000017331	7	0	2	0	0	0	2	0	1	1	0	0
LL0000017332	0	2	0	0	0	0	0	0	0	0	0	0
LL0000017333	0	0	0	0	0	0	0	0	0	2.63	0	1
LL0000017334	0	0	0	1	0	2	0	0	0	0	0	0
LL0000017335	0	2.85	3	2	1.67	2.99	2.32	0	0	2.35	2.81	3.11
LL0000017336	0	0	0	0	1	1	0	0	0	0	1	0
LL0000017337	0	0	3	0	0	0	0	0	0	0	0	0
LL0000017338	38	39	35.99	43.81	33.78	49	35.51	40.76	38	89.89	53.85	52.02
LL0000017339	0	0	0	0	0	1	0	0	0	0	0	0
LL0000017340	7.39	2	10.08	5.99	19	27.01	4.78	8.58	18.81	17.61	23.74	3.41
LL0000017341	1.37	1.65	2.85	0	7.52	3	0	0	0	3.74	2.04	0
LL0000017342	0	0	0	0	0	1.1	0	0	0	0	0	0
LL0000017343	18	25.17	23.49	21.16	37.85	64.93	17	21.71	21.79	23.63	27	12.93
LL0000017344	0	1	1	0	0	0	0	0	0	2	0	0
LL0000017345	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017346	0	0	0	0.99	0	0	0	0	0	0	0	0
LL0000017347	0	0	1	0	0	1	0	0	0	0	0	0
LL0000017348	17.11	27.57	32.38	27.18	29.11	48.8	25.02	24.34	23.35	22.24	13.15	11.08
LL0000017349	3.79	0	2.01	4	0	2	6.85	7.01	3.28	0	0	0
LL0000017350	0	0	1	0	0	0	2	0.95	0	0	0	0
LL0000017351	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017352	2	1	0	1	2	2.24	3	5.26	1	5.98	3.62	6.46
LL0000017353	0	0	0	0	0	0	0	0	1.43	0	1.47	0
LL0000017354	0	0	1	0	0	0	0	0	0	0	0	1
LL0000017355	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017356	0	0	0	0	0	0	0	0	0	0	0	0
LL0000017357	0	4.98	5.27	2.85	5.31	2.77	1.95	5.13	0.23	5	0	0
LL0000017358	1	0	0	0	0	0	0	0	0	0	0	0
LL0000017359	0	0	0	0	0	1	0	0	0	0	0	0
