"symbol"	"wt_DMSO_1"	"wt_DMSO_2"	"wt_DMSO_3"	"wt_CPT_1"	"wt_CPT_2"	"wt_CPT_3"	"miR34a_del_DMSO_1"	"miR34a_del_DMSO_2"	"miR34a_del_DMSO_3"	"miR34a_del_CPT_1"	"miR34a_del_CPT_2"	"miR34a_del_CPT_3"
"LL0000009184"	"dpysl4"	481.88	399.53	502.1	318.9	481	471.23	474.27	495.84	421.03	507.84	264.1	269.05
"LL0000009185"	"dpysl5a"	1063.47	901.32	970.86	474.19	792.71	840.31	1040.01	1310.06	1001.91	778.36	483.96	427.18
"LL0000009186"	"dpysl5b"	238.87	248.99	233.46	164.85	251.22	301.46	178.98	269	194	317.9	175.34	124
"LL0000009187"	"dqx1"	212.01	175	207.66	182.94	273	300.05	158.98	230	154.28	319.12	164.05	203
"LL0000009188"	"dr1"	1040.34	920.08	965.99	656.4	1161.63	1509.95	690.49	928.36	902.26	1633.84	844.82	791.86
"LL0000009189"	"dram1"	3.07	4	17	1	5	12.99	4.95	7	8	8	1	3.52
"LL0000009190"	"dram2a"	3.13	2.01	2.05	1.05	1	5.18	1.01	0	0	1	0	0
"LL0000009191"	"dram2b"	301.57	223.75	251.96	222.77	305.03	377.26	145.18	325.28	188	298.19	209.41	193.02
"LL0000009192"	"drap1"	3627.84	3718.86	3484.32	2031.72	3271.48	4125.43	2403.56	3836.28	3752.92	3848.66	2385.98	2208.07
"LL0000009193"	"draxin"	485.31	550.55	545.01	128.61	244.21	218.94	392.92	504.72	367.92	207.92	153	157.79
"LL0000009194"	"drc1"	54.95	82.89	70.98	25	32	62	57.02	79	64.99	64.89	33.01	27
"LL0000009195"	"drc3"	67.3	55	67	21	56	82	55	85	50	54.02	31	44
"LL0000009196"	"drd1a"	1	2.01	6.95	1	6	5	4	6	3	3	6	3
"LL0000009197"	"drd1b"	23.92	11.03	25	15.98	31.07	21.97	21.95	38.86	17.98	35.04	24.96	15.95
"LL0000009198"	"drd2a"	10	8.05	15	10	9.02	23	9	13	10.93	12.11	8	1
"LL0000009199"	"drd2b"	22	27	26	2.99	3	7	25.99	26	19	3	7	1
"LL0000009200"	"drd2l"	50.04	28.46	49	10	24.88	33.76	22	17	35.01	49.11	18.29	11
"LL0000009201"	"drd3"	7.8	13.67	11.36	15.33	19.76	36.05	14.31	10.84	11.79	17.49	12.92	29.53
"LL0000009202"	"drd4-rs"	39	33.99	47.18	7	5	10	34.41	47.24	26.02	34.1	9	5.13
"LL0000009203"	"drd4a"	10	16	12	4	8	7	17	8.95	5	9	6.01	3.16
"LL0000009204"	"drd4b"	1.47	4.62	3.39	0.05	2	5	2.06	4	2.63	1.57	0	0
"LL0000009205"	"drd5a"	171.48	197.01	228.16	162.9	265.13	355.85	162.47	214.85	167.79	323.46	191.05	186.26
"LL0000009206"	"drd6b"	0	0	0	44	36.98	75	0	1	0	43	16	22
"LL0000009207"	"drd7"	3	0	2	0	1	3	0	1	0	0	1	2
"LL0000009208"	"dre-let-7a-1"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009209"	"dre-let-7a-2"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009210"	"dre-let-7a-3"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009211"	"dre-let-7a-4"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009212"	"dre-let-7a-5"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009213"	"dre-let-7a-6"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009214"	"dre-let-7b"	0	0	0	0	0	0	0	0	0	0	0	0.21
"LL0000009215"	"dre-let-7c-1"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009216"	"dre-let-7c-2"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009217"	"dre-let-7d-1"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009218"	"dre-let-7d-2"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009219"	"dre-let-7e"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009220"	"dre-let-7f"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009221"	"dre-let-7g-1"	0	0	0	0	0	0	0	2	0	3	0	0
"LL0000009222"	"dre-let-7g-2"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009223"	"dre-let-7h"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009224"	"dre-let-7i"	0	0	0	0	0	0	0	0	0	2	0	0
"LL0000009225"	"dre-let-7j"	0	0	0	0	0	3	0	0	0	3	0	1
"LL0000009226"	"drg1"	1604.28	1313.69	1462.04	1676.61	2056.26	2644.76	1129.4	1902.91	1699.25	2226.28	1563.78	1226.69
"LL0000009227"	"drg2"	915.77	794.97	931.28	977.14	1318.13	1711.56	671.34	1126.89	950.48	1351.96	995.58	827.64
"LL0000009228"	"drgx"	62	64	61	35.18	50	99	48	87.06	61.88	67	47.99	44.06
"LL0000009229"	"drl"	135.85	99.12	116.79	57.95	62.96	100.57	75.02	150.25	113.36	92.6	74.04	42.56
"LL0000009230"	"drosha"	675.9	571.08	600.11	358.86	447	513.03	566.88	709.52	617.78	579.41	406	245
"LL0000009231"	"drp2"	140.89	127.52	147.95	36.81	47.98	53	100	110.83	82.08	107.03	51.01	47.97
"LL0000009232"	"dsc2l"	635.42	727.98	694.78	592.58	736	898.97	591.97	756.21	652.51	881.35	534.6	471.73
"LL0000009233"	"dscama"	290.01	295.73	316.02	21.06	39	26	282.88	356.91	262	47	17.1	23
"LL0000009234"	"dscamb"	149.36	136.64	140	8	11	10	137.41	171.92	150.92	7.97	2	6
"LL0000009235"	"dscaml1"	81.59	90.31	120	22	28.98	22	87.07	91.01	64	29	15	17
"LL0000009236"	"dscc1"	487.97	430	474.45	415.94	506.37	862.47	343.54	523.09	537.02	623.11	450.51	312.46
"LL0000009237"	"dse"	791.13	880.64	858.02	706.75	907.29	1095.39	652.18	839.75	762.01	1036.39	703.82	675.1
"LL0000009238"	"dsela"	32.02	36.97	26.29	40	27	49	31.84	41	29	51.19	35	31
"LL0000009239"	"DSG2"	442	482.38	531.45	287.98	295.65	223.95	452.46	504.24	408.43	396.08	242.61	251.31
"LL0000009240"	"dsg2.1"	972.01	947.24	897.92	764.25	926.04	1044.48	970.55	1230.02	1019.21	1103.51	677.26	666.25
"LL0000009241"	"dsg2l"	216.06	215.92	239.2	163.98	182	190.9	163	229.85	161.71	224.1	148.01	146.99
"LL0000009242"	"dsn1"	491.95	475.35	697.21	160.79	194	297.06	382.3	543	472	260.02	233	164.68
"LL0000009243"	"dspa"	3475.3	3985.32	3545.06	1755.15	2158.9	1933.17	3263.85	4160.85	3038.99	2679.98	1633.04	1554.45
"LL0000009244"	"DST"	2495.53	2562.58	2598.99	361.28	553.04	560.93	2488.05	2925.16	2171.76	637.84	272.59	313.24
"LL0000009245"	"dstyk"	1989.37	1949.62	2182.08	1276.38	1589.8	1832.28	1734.72	2440.72	1800.76	1531.45	877.35	946.04
"LL0000009246"	"dtd1"	625.64	686.49	642.77	527.13	866.87	1200.54	396.01	855.11	759.48	1191.92	871.7	779.04
"LL0000009247"	"dtd2"	56	49	61	44.01	57	95.91	38	41	44.02	86	54.01	46.33
"LL0000009248"	"dthd1"	73	100.1	91.68	13.04	51	85.99	58.87	104.79	100	86.95	38.15	63.09
"LL0000009249"	"dtl"	486.29	445.43	531.54	249	407.81	537.32	345.21	618.34	481.11	406.78	357.64	290.37
"LL0000009250"	"dtna"	386	434.8	519.14	101.81	121.01	144.97	389.39	422.02	350.69	213	118.54	90.6
"LL0000009251"	"dtnba"	1908.8	2209.82	2256.81	1114.39	1713.93	1704.04	1910.04	2449.64	1950.55	1456.41	834.05	757.87
"LL0000009252"	"dtnbb"	83	80.96	71	24.99	45.97	26	56.48	62	28.52	41	19.11	27
"LL0000009253"	"dtnbp1a"	473.3	440.51	487.83	149.69	214	328.83	381.4	521.1	481.98	293.33	162.32	196.32
"LL0000009254"	"dtnbp1b"	53.01	67	45.48	8	30.84	12	32	45	40.99	6	13	7
"LL0000009255"	"dtwd1"	174	189.69	168.74	304.72	385.74	467.38	134.87	233.99	211	347.33	243.21	202.94
"LL0000009256"	"dtwd2"	126.63	141.28	133.63	138.96	223.02	212.62	100.07	139	162.84	179.18	59	78
"LL0000009257"	"dtx2"	376.16	367.07	461.23	226	321.1	385.51	370.89	490.93	443.98	362.74	238.01	251.67
"LL0000009260"	"dtymk"	634.83	552.04	621.74	384.41	615.08	800.51	359.97	714.79	668	813.73	595.02	532.7
"LL0000009261"	"dub"	177.48	277.94	246	49.02	67	84	132	278.82	219.81	86.82	56.12	43
"LL0000009262"	"duox"	595.54	574.04	659.39	395.01	503.2	516	883.46	1171.21	864	788.56	376.85	311.72
"LL0000009263"	"duox2"	67.03	53.96	55	35	49	47	124	138.7	123	68	41	42.88
"LL0000009265"	"dus1l"	354.15	342.18	313.8	330.66	493.01	687.32	242.53	427.89	350.83	577.25	391.98	319.5
"LL0000009266"	"dus2"	760.5	624.84	626.5	753.14	1151.52	1727.71	507.39	906.74	814.98	1315.11	994.99	764.69
"LL0000009267"	"dus3l"	555.21	606.04	601.13	855.75	1242.57	1805.95	403.34	744.98	648.37	1387.7	1009.95	840.51
"LL0000009268"	"dus4l"	162	109.51	153.01	154.93	185.89	310.24	84.63	153.01	171	252.46	157.3	115
"LL0000009269"	"dusp1"	1152.86	1378.55	1689.74	854.86	1608.46	2363.88	968.67	1331.98	1149.3	1924.44	1128.5	1160.91
"LL0000009270"	"dusp10"	55.22	55.97	64.65	29.2	23.59	28.99	51.24	54.08	32.21	38.19	36.54	23.29
"LL0000009271"	"dusp11"	392.5	293.9	364	517.59	593.16	850.21	336.83	431.19	373.05	1185.13	734.3	586.77
"LL0000009272"	"dusp12"	92.53	79	110	75	73	163	67.45	109	140	136.27	127	135.12
"LL0000009273"	"dusp13a"	2	0	0	0	2	0	0.96	0	0	0	0	0
"LL0000009274"	"dusp14"	41.33	35	54	18	28.01	43	26	32	29	35	15	18
"LL0000009275"	"dusp16"	797.98	787.17	926.32	816.17	1148.22	1261.55	680.71	818.03	682.26	1138.32	703.81	654.9
"LL0000009276"	"dusp19a"	1	4	4	0	4	3	3.02	1	3	9	4.72	2
"LL0000009277"	"dusp19b"	104.62	104	132	119	212.98	277.63	93	148.69	149.76	258.83	196.75	159.14
"LL0000009278"	"dusp2"	29.98	13.96	24	24.19	38	38	24	21.02	18.95	52	26	41
"LL0000009279"	"dusp22a"	113	83.37	130	23.98	29	37.99	55	71	102	37	37.01	30
"LL0000009280"	"dusp22b"	114.65	131.13	112.83	71	95	128	90.12	86.97	105	150.57	88	69
"LL0000009281"	"dusp23a"	23	18	24	16	35	45	10	21	14	43	39	33
"LL0000009282"	"dusp23b"	157	170.28	204.95	116	151.98	201.37	99.96	171.97	149.95	209.91	190	122
"LL0000009284"	"dusp26"	54	45.99	50	26.66	67.7	89.03	31.6	36.95	61.13	82.91	31.91	25.54
"LL0000009286"	"dusp28"	35	39.87	51	45	72	99.98	19	21	35	97.42	81.65	54.51
"LL0000009287"	"dusp3a"	69	87	67	26	52	54	44	51	46	47.31	29.9	34
"LL0000009288"	"dusp3b"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000009289"	"dusp4"	251.25	197.47	229	242.21	397.11	591.06	178.26	266.45	205	547.22	304.95	310.24
"LL0000009290"	"dusp5"	95	96.97	115.99	131	181	330.32	65.79	116	98	210.81	145.01	131.04
"LL0000009291"	"dusp6"	2174.77	2479.65	2415.41	2505.02	4326.3	5321.5	1583.35	2249.89	2056.18	4501	2812.45	2544.01
"LL0000009292"	"dusp7"	940.36	774.71	767.56	696.3	1326.89	1720.57	684.65	952.95	769.38	1558.45	955.97	819.33
"LL0000009293"	"dusp8a"	403.48	504.04	568.9	354.27	551.76	504.38	389.86	465.89	417.02	690.61	398.67	445.42
"LL0000009294"	"dusp8b"	131.92	190.95	184.51	227.15	238.68	402.78	142.02	111.79	175.98	373.33	245.67	250.36
"LL0000009295"	"dut"	5247.52	5143.03	5052.62	3727.4	5474.58	6545.14	3223.85	6472.21	5271.79	5197.08	4358.38	3621.78
"LL0000009296"	"dvl1a"	156.05	154.42	190.89	18	22	53.33	141	164.91	145	61	25	18
"LL0000009297"	"dvl1b"	55	72	94	25	42	68	73.28	115.01	76.03	42.93	45	25
"LL0000009298"	"dvl2"	627.66	608.88	714.96	454	668.06	887.46	579.19	671.16	574.27	968.57	469.38	493.04
"LL0000009299"	"dvl3a"	1353.93	1357.45	1401.5	797.82	1122.11	1562.71	1206.77	1731.18	1337.03	1408.02	958.52	825.26
"LL0000009300"	"dvl3b"	221.48	231.21	211.03	118.48	165.99	181.02	224.91	219.94	162.17	202.3	94.77	103.79
"LL0000009301"	"DXO"	134.5	145.01	167.58	134	204.61	236.23	120.5	175.59	167.35	306.43	170.35	167.34
"LL0000009302"	"dydc2"	44.96	54.81	63.73	14	31.33	52.99	31	54	70.43	35	35	31
"LL0000009303"	"dym"	236	230	304.43	39	45	56	205.93	315.9	236	94	59	37.99
"LL0000009304"	"dync1h1"	6917.93	6934.84	6896.29	3892.3	5289.71	4683.47	7397.18	8729.09	6617.85	4792.41	2558.75	2826.67
"LL0000009305"	"dync1i1"	343.06	316	341.1	168	350.09	561.02	252.74	317.49	282.13	357.23	204.86	228.9
"LL0000009306"	"dync1i2a"	2753.92	2478.16	2631.66	1282.21	1532.39	1504.75	2036.62	2876.91	2417.2	1974.94	1233.61	996.81
"LL0000009307"	"dync1i2b"	341.75	346.15	327.99	143	196.12	254.24	257.28	344.61	262.37	262.68	161.59	131.63
"LL0000009308"	"dync1li1"	1087.73	1011.78	1025.81	563.05	780.3	1068.88	775.35	1197.26	1007.99	1028.9	623.02	503
"LL0000009309"	"dync1li2"	1064.61	930.86	954.84	869.39	1265.45	1273.86	835.29	1363.5	961.06	1535.42	885.29	846.64
"LL0000009310"	"DYNC2H1"	560.94	654.63	630.08	71.01	94	68.01	581.88	691.85	472.9	121.64	72	54.62
"LL0000009311"	"dync2li1"	131.77	113.67	94.06	51.42	65.95	114.9	64.59	87.67	85.1	81.64	81.39	68.16
"LL0000009312"	"dynll1"	5670.5	4764.74	5831.76	4037.48	5303.12	6992.34	3698.71	6485.24	4956.37	5769.73	4795.63	3685.96
"LL0000009313"	"dynll2a"	892.83	864.34	1057.59	619.69	1051.28	1544.09	623.03	1112.91	1045.89	1247.73	970.58	803.24
"LL0000009314"	"dynll2b"	327.01	342.14	311.22	187.62	254.16	425.31	240	413.22	397.56	428.76	384.22	247.74
"LL0000009315"	"dynlrb1"	606.24	654.45	882.23	435.54	723.14	1248.95	437.23	623.57	638.41	1090.27	767.22	587.85
"LL0000009316"	"dynlt1"	84	79	75.64	57.89	98.96	154	44.99	71.05	87.17	93.91	44	39
"LL0000009317"	"dynlt3"	489.67	425.28	513.3	375	528	808.85	387.34	497.2	479.92	568.86	537.29	343.54
"LL0000009318"	"dyrk1aa"	2206.24	1977.18	2097.47	1803.94	3274.77	3667.23	1830.66	2736.2	2056.26	3228.45	1727.84	1732.58
"LL0000009319"	"dyrk1ab"	506.08	455.46	539.73	647.86	870.14	874.56	474.09	599.33	512.09	1175.41	636.53	693.9
"LL0000009320"	"dyrk1b"	1364.65	1416.43	1385.61	621.59	775.97	807.72	1308.29	1805.24	1365.78	933.27	520.3	493.27
"LL0000009321"	"dyrk2"	888.87	970.69	1226.01	979.94	1528.19	2006.59	845.31	944.37	907.4	2033.03	1206.23	1084.53
"LL0000009322"	"dyrk3"	1220.03	1427.6	1554.55	1976.13	2531.08	2657.88	962.99	1387.44	1082.35	2744.89	1612.82	1605.79
"LL0000009323"	"dyrk4"	54	65	60.49	17.47	38	31	44.46	78.01	65	35	28	11
"LL0000009324"	"dysf"	1277.3	1428.39	1513.62	331	454.1	349.12	1036.61	1301.18	997.14	452.95	162	213.84
"LL0000009325"	"dytn"	22	26.14	43.26	21	21.38	31.83	10	12	38.89	37.08	14.33	17.42
"LL0000009326"	"dzank1"	37	24.96	28.46	16.04	27	44	23.98	22	35	31	27	20
"LL0000009327"	"dzip1"	927.3	948.96	1033.46	347.93	662.98	959.03	841.18	1235.95	1026.98	757.41	557.45	477.7
"LL0000009328"	"dzip1l"	21	28	22.99	3.99	5	2	19.03	19	25	7	7	4
"LL0000009329"	"e2f1"	333.48	323.04	416.04	262.99	439	550.89	363.18	359.77	398.94	544.33	284.41	371.22
"LL0000009330"	"e2f3"	1332.57	1237.42	1347.09	695.26	1148.98	1624.41	959.04	1425.18	1381.01	1603.58	899.09	866.89
"LL0000009331"	"e2f4"	929.05	939.55	1010.46	609.18	999.33	1267.41	902.3	1231.58	1039.99	1024.86	628.21	573.99
"LL0000009332"	"e2f5"	53	93.61	83	63	101.46	181	54.89	68	85.92	149.73	94	80.33
"LL0000009333"	"e2f7"	873.99	792.97	814.74	1117.56	1744.66	2241.01	673.05	836.28	821.03	2033.06	1385.13	1194.95
"LL0000009334"	"e2f8"	942.78	1038.39	1175.77	737.12	1038.83	1298.51	833.39	1214.11	969.46	1218.14	674	585.2
"LL0000009335"	"e4f1"	382	403.65	439.49	301.76	347.86	473.99	285.97	442.12	325.85	445.71	299.51	254.11
"LL0000009336"	"eaf1"	299.83	343.41	322.33	267.01	517.46	624.57	273.48	344.12	347.94	390.11	280.71	260.01
"LL0000009337"	"eaf2"	850.87	1135.38	883.82	811.26	1292.96	1795.79	524.16	926.29	1095.66	1551.19	1216.28	917.29
"LL0000009338"	"eapp"	272	347.13	287.01	177.97	388.99	440.01	199	346.95	272.53	348.31	202	236.94
"LL0000009339"	"EARS2"	327.51	318.48	372.07	313	451.05	626.97	271	452.99	335	364.38	351.08	266
"LL0000009340"	"ebag9"	461.96	479.8	497.02	605.22	818.25	1008.03	407.06	503.07	408	785.72	514.1	499.7
"LL0000009341"	"EBF1 (1 of many)"	9.33	6.18	3.16	2	0	0	3.47	25	9.09	0	0	1
"LL0000009342"	"ebf1b"	24.67	29.96	22.33	0	1	1	22.53	12.13	22.91	7.08	2	2
"LL0000009343"	"ebf2"	1893.21	1775.05	2042.35	586.64	875.49	1216.7	1754.88	1987.42	1652.48	1202.93	712.8	554.02
"LL0000009345"	"ebf3b"	13	10	17	94	217.16	476.99	6	21	8.99	335.61	208.61	253
"LL0000009346"	"ebi3"	4	1	1	2	2	2	2	2	0	9	1	3
"LL0000009347"	"ebna1bp2"	1027.32	1116.51	1109.38	554.57	710.4	974.75	643.24	1301.77	1177.53	1130.64	969.78	676.88
"LL0000009348"	"ebp"	71	63	105.99	70.38	108.45	164.23	54	122.92	88.02	154.08	121	93
"LL0000009349"	"ebpl"	17	13	19.01	10	5	18	11	13	17	14	11.76	5
"LL0000009350"	"ecd"	226.07	206.94	238	195	229.66	364.3	203.03	287	275.67	297.88	226	164.91
"LL0000009351"	"ece1"	290.97	336.64	386.01	187.65	243.01	292.68	275.06	365.67	301.06	290.08	201.85	168.3
"LL0000009352"	"ece2a"	118.65	83	96.45	6.25	17	23.6	55.01	77.69	90.42	25.41	13.75	8
"LL0000009353"	"ece2b"	224.01	337.97	275.23	24	43	29.01	196.02	198	188.99	74.72	25	26
"LL0000009354"	"ecel1"	96.99	90.99	118.82	51	58.63	57	92.77	115.02	88.03	62.31	57.13	36.26
"LL0000009355"	"ech1"	504.93	393.99	435.71	283	413.02	565.47	312.88	519.01	475.51	637.62	406.44	290.98
"LL0000009356"	"echdc2"	251	200.96	224.5	147	193.99	240.52	194.19	285.96	237.01	280.9	221.94	143
"LL0000009357"	"echdc3"	16.22	16.01	41.71	32.87	37.74	55.42	22.7	12.54	16.87	39.58	30.08	49.64
"LL0000009358"	"echs1"	708.06	689.76	880.11	508.21	853.13	893.46	531.07	760.79	650.92	1004.18	643.57	483.59
"LL0000009359"	"eci1"	487.1	449.73	640.64	370.78	564.84	928.55	336.37	492.32	506.58	742.38	593.42	485.94
"LL0000009360"	"eci2"	642.89	561	535.63	471	570.75	731.99	483.93	780	510.98	615.91	423.65	366
"LL0000009361"	"ecm1a"	0	1	0	0	0	0	0	0	1	1.65	0	0
"LL0000009362"	"ecm1b"	170.98	153	192.01	179.13	296.35	421.99	123.82	193	167	298	204.75	240.96
"LL0000009363"	"ecm2"	348.04	402.1	402.27	225.22	378.41	401.65	242.5	397.49	373.79	396	211.93	165.28
"LL0000009364"	"ecpas"	1507.99	1405.85	1618.03	854.48	1365.58	1601.36	1253.57	1637.56	1416.68	1641.22	1053.02	951.08
"LL0000009365"	"ecrg4a"	36	47	56.03	25	52.94	46	18	32.95	39	38	36	28
"LL0000009366"	"ecrg4b"	418	516.78	476.37	297	459.3	493.89	249.19	555	459.95	393.65	293.19	224.02
"LL0000009367"	"ecscr"	55	51.01	57.96	19	28	33.99	65.95	59	35	52.08	61	34
"LL0000009368"	"ecsit"	393.95	314.25	309.76	394.99	606.78	838.83	249.7	513.53	402.96	604.56	413.2	402.33
"LL0000009369"	"ect2"	911.33	793.37	945.22	299.19	434.07	679.98	769.37	1093.27	815.99	554.67	395.31	364.06
"LL0000009370"	"ect2l"	18.75	38.75	35.72	0	4.78	19.24	15.73	21.03	0	27	10.06	15.64
"LL0000009371"	"eda"	111.03	78.01	132.92	50.74	98	101	96.86	131	111.46	109.21	80.09	55
"LL0000009372"	"edar"	58.22	92.02	82.63	42.94	54.18	62	57	54.01	47	56.4	59	40.02
"LL0000009373"	"edaradd"	6	12.12	7	8.02	14	24	14	12.76	7	17	9	6
"LL0000009374"	"edc3"	563.27	620.04	594.29	519.26	636.78	571.28	426.99	442.08	445.88	705.9	437.87	471.35
"LL0000009375"	"edc4"	1026	935.55	1149.88	847.62	896.01	983.52	1021.05	1278.35	959.73	1268.77	720.96	764.39
"LL0000009376"	"edem1"	524.89	536.12	569.86	246.29	255.06	309.73	339.94	487.04	436.06	421	238.99	195
"LL0000009377"	"edem2"	291.98	219	293.67	108	181	230	178.9	265	226.07	179.12	144	104.51
"LL0000009378"	"edem3"	959.33	741.76	824.06	1032.99	1144.7	1410.12	695.99	1155.64	945.55	1460.56	788.85	817.17
"LL0000009379"	"edf1"	2547.49	2526.83	3058.86	2376.58	3311.82	3593.58	1486.5	2909.21	2156.92	3664.51	2497.64	2119.82
"LL0000009380"	"edil3a"	183	187.99	201.96	15	29.01	20.99	144	176.36	161.85	54	9	15
"LL0000009381"	"edil3b"	6	8	1	0	0	3	1.99	1	1	4	0	3
"LL0000009382"	"edn1"	55	64.07	75.66	16	40	62.99	31.96	47	53	87.05	55	43
"LL0000009383"	"edn2"	16	31	34.65	25	44	118.36	22.29	31.46	19	85.77	49	54
"LL0000009384"	"edn3b"	0	1	0	0	0	0	0	0	0	0	0	1
"LL0000009385"	"ednraa"	230.36	184.98	259.16	78.83	81	79	184.16	223.56	200.98	96	82	53
"LL0000009386"	"ednrab"	378.29	358.36	436.44	236.5	241.01	385.26	361.01	527.32	518.23	316.98	299.02	199
"LL0000009387"	"ednrba"	30	38	47.46	7	7	11	40.99	31	33	15	15	12
"LL0000009388"	"ednrbb"	0	0	0	2	1	0	0	0	0	0	0	0.98
"LL0000009389"	"edrf1"	531.91	451.38	493.17	367.11	436.49	574.85	425.16	526.51	425.05	606.91	357.37	314.94
"LL0000009390"	"eea1"	706.78	806.11	740.99	207	249.4	239.91	679.29	948.31	657.35	419.8	212.05	228.25
"LL0000009391"	"eed"	1587.5	1343.82	1499.65	1628.5	2273.31	2989.3	1153.53	2151.13	1688.17	2040.62	1446.73	1321.61
"LL0000009392"	"eef1a1a"	61	38	38.02	44.05	102.43	134.09	28.01	61.9	48	61.14	115.2	42.84
"LL0000009393"	"eef1a1b"	20.02	19.02	21.03	12.69	14	25	20.07	21.92	14.01	29.96	15	16.09
"LL0000009394"	"eef1a1l1"	325874.26	332260.97	343673.75	474263.58	617071.11	592682.73	233822.77	354494.92	305510.94	418246.81	294307.51	257875.55
"LL0000009395"	"eef1a1l2"	1262.31	1189.9	992.71	1259.98	1236.33	1639.96	1345.36	1883.55	1937.9	3008.8	1510.68	1111.55
"LL0000009396"	"eef1a2"	1	2	0	0	0	0.99	0	0	0	0	0	0
"LL0000009397"	"eef1akmt1"	399	303.95	357.11	500	592.89	834.03	200.51	509.01	387.5	669.59	548.72	431.55
"LL0000009398"	"eef1akmt2"	107.92	125.14	116.32	79.17	139.87	223.46	41.09	113.47	124	128.35	102	127.07
"LL0000009399"	"eef1b2"	13406.43	16419.45	16092.86	17135.12	23908.18	26408.26	8213.61	15072.16	13874.16	14930.31	12224.59	10931.17
"LL0000009400"	"eef1da"	5055.56	5464.31	5767.82	5308.1	6765.4	6377.98	3062.13	5478.48	4284.97	6039.45	4101.19	3550.56
"LL0000009401"	"eef1db"	4948.08	5149.46	5532	4835.47	6875.2	7581.19	3231.97	5610.88	4850.71	6112.15	4177.1	3664.58
"LL0000009402"	"eef1e1"	1120.37	930.24	1116.4	629.33	835.44	1222.16	754.97	1127.14	1011.92	1406.27	970.91	773.13
"LL0000009403"	"eef1g"	22097.24	22898.78	27202.81	25569.76	33193.2	36887.55	16204.94	24637.7	20039.49	25200.56	18519.12	16814.24
"LL0000009404"	"eef2a.1"	1204.25	856.77	1222.19	882.23	1485.38	2490.52	1004.05	1543.83	1340.02	2023.58	1696.4	1458.7
"LL0000009405"	"eef2a.2"	20.69	30.02	24.3	43.14	78.07	102.33	25.34	26.08	25.96	107.78	77.43	85.76
"LL0000009406"	"eef2b"	108089.82	105547.69	107519.85	142439.8	187648.24	134901.2	89089.03	125703.65	99061.39	116056.66	73378.35	65859.18
"LL0000009407"	"eef2k"	2129.6	3030.44	3130.7	1062.36	1615.6	1644.92	1767.08	2454.7	2120.55	1451.32	913.43	787.14
"LL0000009408"	"eef2kmt"	82.07	71	86.81	81	121	199.32	51	68	91	135	119.01	95
"LL0000009409"	"eef2l2"	3179.31	3797.75	3550.75	2393.26	3284.57	2770.89	2432.37	3439.41	2732.03	2639.27	1524.1	1601.87
"LL0000009410"	"eefsec"	393.75	321.1	363.88	377.14	460.7	579.63	296.93	474.91	341.09	473.1	464.02	367.95
"LL0000009411"	"eepd1"	381.03	414.57	458.42	82.45	101	120.01	266	496.75	378	147.36	94.99	66.97
"LL0000009412"	"eevs"	13	8	19	16	22	27	9	7	5	24.58	10	13
"LL0000009413"	"efcab1"	53	48	40	17	35.44	34	20	40.85	37	46	25	13
"LL0000009414"	"efcab11"	47	47.03	40	3	2	3	32.18	33	45	5	9	2
"LL0000009415"	"efcab2"	19	15	14.91	6	15	19	10	14	20	18	9	8
"LL0000009416"	"efcab6"	34	31	40.88	11	19	52	31	26	48	50.5	36	25.16
"LL0000009417"	"efcab7"	297	299.83	356.01	149.22	231.31	365.02	184.09	338.16	342	308.84	197	161.99
"LL0000009418"	"efcc1"	746.94	770.88	789.68	98.99	156.8	178.44	604.43	764.83	740.82	235.57	111.33	143
"LL0000009420"	"efemp1"	4	9	19	8	25	14	12	5	16	13	7	17
"LL0000009421"	"efemp2a"	1205.77	1346.85	1387.02	973.34	822.33	753.58	938.28	1321.35	1094.54	1017.17	637.4	542.38
"LL0000009422"	"efemp2b"	680.02	658.02	718.49	529.8	681.59	942.58	453.28	667.6	691.74	847.42	497.98	456.9
"LL0000009423"	"efhb"	7	20.98	29	2	0	9.02	4	12	23.01	3	2	2
"LL0000009424"	"efhc1"	202.11	209.2	193.12	81	126.67	146.03	143.25	234.97	243.08	185.05	124.34	92
"LL0000009425"	"efhc2"	65	56	50	19	40	50	35	72	80.05	52	27	23
"LL0000009426"	"efhd1"	344	421.91	382.71	245.21	332.99	439.94	161	383.23	483	466	384.78	338.3
"LL0000009427"	"efhd2"	495.29	588.43	518.8	284.65	326.92	242.63	364	439.99	408.09	493.26	316.25	320.86
